,CNPJ,NOME,ENDEREÇO,COMPLEMENTO,BAIRRO,MUNICÍPIO,UF,PRODUTO,VALOR VENDA,DATA CADASTRO
596,27444236000173,AUTO POSTO GAUCHINHO,"RUA MAJOR CARLOS DA SILVA,1131",,VILA JUQUITA,MARACAJU,MS,Diesel S500,3.5400,'27/06/2018
597,27444236000173,AUTO POSTO GAUCHINHO,"RUA MAJOR CARLOS DA SILVA,1131",,VILA JUQUITA,MARACAJU,MS,Diesel S10,3.6000,'27/06/2018
598,28771931000102,MANANCIAL COMERCIO DE COMBUSTIVEIS,"RUA 21,1380",QUADRA42                  LOTE  01,CENTRO,EDEALINA,GO,Gasolina C Comum,4.7990,'04/10/2018
599,28771931000102,MANANCIAL COMERCIO DE COMBUSTIVEIS,"RUA 21,1380",QUADRA42                  LOTE  01,CENTRO,EDEALINA,GO,Etanol,2.8890,'04/10/2018
600,28771931000102,MANANCIAL COMERCIO DE COMBUSTIVEIS,"RUA 21,1380",QUADRA42                  LOTE  01,CENTRO,EDEALINA,GO,Diesel S500,3.6990,'04/10/2018
601,28771931000102,MANANCIAL COMERCIO DE COMBUSTIVEIS,"RUA 21,1380",QUADRA42                  LOTE  01,CENTRO,EDEALINA,GO,Diesel S10,3.7990,'04/10/2018
602,28861014000119,POSTO SAM,"ESTRADA DE RIBAMAR,11",,VILA KIOLA,SAO JOSE DE RIBAMAR,MA,Gasolina C Comum,4.0990,'13/07/2018
603,28861014000119,POSTO SAM,"ESTRADA DE RIBAMAR,11",,VILA KIOLA,SAO JOSE DE RIBAMAR,MA,Diesel S10,3.3990,'13/07/2018
604,29402611000148,GTX,"AVENIDA BRIGADEIRO JOSE VICENTE DE FARIA LIMA,815",,JARDIM MARIA AUGUSTA,TAUBATE,SP,Gasolina C Comum,4.1490,'19/04/2019
605,29402611000148,GTX,"AVENIDA BRIGADEIRO JOSE VICENTE DE FARIA LIMA,815",,JARDIM MARIA AUGUSTA,TAUBATE,SP,Etanol,2.8990,'19/04/2019
606,29402611000148,GTX,"AVENIDA BRIGADEIRO JOSE VICENTE DE FARIA LIMA,815",,JARDIM MARIA AUGUSTA,TAUBATE,SP,Diesel S10,3.4790,'27/03/2019
607,30701345000133,POSTOS MAX,"AVENIDA BRASIL,588",,CENTRO,PASSO FUNDO,RS,Gasolina C Comum,4.7590,'25/09/2018
608,30701345000133,POSTOS MAX,"AVENIDA BRASIL,588",,CENTRO,PASSO FUNDO,RS,Diesel S10,3.4990,'25/09/2018
609,31145107000151,AUTO POSTO SANTO ANGELO,"AVENIDA JO SATO,802",,JARDIM ELDORADO,VILHENA,RO,Gasolina C Comum,4.4790,'26/03/2019
610,31145107000151,AUTO POSTO SANTO ANGELO,"AVENIDA JO SATO,802",,JARDIM ELDORADO,VILHENA,RO,Etanol,3.5990,'26/03/2019
