,CNPJ,NOME,ENDEREÇO,COMPLEMENTO,BAIRRO,MUNICÍPIO,UF,PRODUTO,VALOR VENDA,DATA CADASTRO
702,83607333000100,POSTO OURO VERDE LTDA,"RUA SANTA CATARINA,616",,CENTRO,OURO VERDE,SC,Diesel S500,3.7900,'29/08/2018
703,83607333000100,POSTO OURO VERDE LTDA,"RUA SANTA CATARINA,616",,CENTRO,OURO VERDE,SC,Diesel S10,3.8900,'29/08/2018
704,84437136000153,POSTO MARECHAL,"AVENIDA MARECHAL DEODORO DA FONSECA,961",,CENTRO,JARAGUA DO SUL,SC,Gasolina C Comum,4.1750,'13/07/2018
705,84437136000153,POSTO MARECHAL,"AVENIDA MARECHAL DEODORO DA FONSECA,961",,CENTRO,JARAGUA DO SUL,SC,Etanol,3.3750,'13/07/2018
706,84437136000153,POSTO MARECHAL,"AVENIDA MARECHAL DEODORO DA FONSECA,961",,CENTRO,JARAGUA DO SUL,SC,Diesel S10,3.3350,'13/07/2018
707,87012050000177,POSTO COOMOCA,"RUA MIGUEL LORETO SOBRINHO,28",ESQUINA COM BR 153,DISTRITO INDUSTRIAL,CACHOEIRA DO SUL,RS,Gasolina C Comum,4.0000,'13/07/2018
708,87012050000177,POSTO COOMOCA,"RUA MIGUEL LORETO SOBRINHO,28",ESQUINA COM BR 153,DISTRITO INDUSTRIAL,CACHOEIRA DO SUL,RS,Etanol,3.0000,'13/07/2018
709,87012050000177,POSTO COOMOCA,"RUA MIGUEL LORETO SOBRINHO,28",ESQUINA COM BR 153,DISTRITO INDUSTRIAL,CACHOEIRA DO SUL,RS,Diesel S500,3.0000,'13/07/2018
710,87012050000177,POSTO COOMOCA,"RUA MIGUEL LORETO SOBRINHO,28",ESQUINA COM BR 153,DISTRITO INDUSTRIAL,CACHOEIRA DO SUL,RS,Diesel S10,3.0000,'13/07/2018
711,91424135000130,ABASTECEDORA TRES AMIGOS LTDA,"RODOVIA BR-116,7455",,ROSELANDIA,NOVO HAMBURGO,RS,Gasolina C Comum,4.5990,'14/07/2018
712,91424135000130,ABASTECEDORA TRES AMIGOS LTDA,"RODOVIA BR-116,7455",,ROSELANDIA,NOVO HAMBURGO,RS,GNV,2.8990,'14/07/2018
713,91424135000130,ABASTECEDORA TRES AMIGOS LTDA,"RODOVIA BR-116,7455",,ROSELANDIA,NOVO HAMBURGO,RS,Diesel S500,3.1990,'14/07/2018
714,91424135000130,ABASTECEDORA TRES AMIGOS LTDA,"RODOVIA BR-116,7455",,ROSELANDIA,NOVO HAMBURGO,RS,Diesel S10,3.2990,'14/07/2018
715,93777456000143,POSTO PAMPEANO II,"AVENIDA PRESIDENTE KENNEDY,185",,VILA BATISTA,CACAPAVA DO SUL,RS,Gasolina C Comum,4.9470,'29/06/2018
716,93777456000143,POSTO PAMPEANO II,"AVENIDA PRESIDENTE KENNEDY,185",,VILA BATISTA,CACAPAVA DO SUL,RS,Etanol,4.1490,'29/06/2018
717,93777456000143,POSTO PAMPEANO II,"AVENIDA PRESIDENTE KENNEDY,185",,VILA BATISTA,CACAPAVA DO SUL,RS,Diesel S500,3.3270,'29/06/2018
718,93777456000143,POSTO PAMPEANO II,"AVENIDA PRESIDENTE KENNEDY,185",,VILA BATISTA,CACAPAVA DO SUL,RS,Diesel S10,3.3940,'29/06/2018
719,98749864000105,FIGUEIRA CENTRO COMERCIO E DERIVADOS DE COMBUSTIVEIS LTDA,"RUA BENTO GONCALVES,1295",,CENTRO,VIAMAO,RS,Gasolina C Comum,4.1990,'01/02/2019
720,98749864000105,FIGUEIRA CENTRO COMERCIO E DERIVADOS DE COMBUSTIVEIS LTDA,"RUA BENTO GONCALVES,1295",,CENTRO,VIAMAO,RS,Diesel S500,3.4490,'01/02/2019
721,98749864000105,FIGUEIRA CENTRO COMERCIO E DERIVADOS DE COMBUSTIVEIS LTDA,"RUA BENTO GONCALVES,1295",,CENTRO,VIAMAO,RS,Diesel S10,3.5990,'01/02/2019
